id_meteo;Date;Lieu;Vitesse_vent_moyen;Humidité;Température
168;2022-06-07 06:00:00+00:00;Métropole du Grand Paris;4.6;94.0;15.900000000000034
169;2022-06-10 03:00:00+00:00;Métropole du Grand Paris;2.3;90.0;14.0
170;2022-06-21 06:00:00+00:00;Métropole du Grand Paris;3.9;87.0;15.900000000000034
171;2022-06-23 21:00:00+00:00;Métropole du Grand Paris;1.4;57.0;22.900000000000038
172;2022-07-04 12:00:00+00:00;Métropole du Grand Paris;2.8;39.0;23.600000000000023
173;2022-07-07 03:00:00+00:00;Métropole du Grand Paris;2.2;80.0;16.0
174;2022-07-08 12:00:00+00:00;Métropole du Grand Paris;4.1;39.0;23.700000000000045
175;2022-07-09 00:00:00+00:00;Métropole du Grand Paris;2.2;66.0;18.600000000000023
176;2022-07-10 15:00:00+00:00;Métropole du Grand Paris;5.1;37.0;26.80000000000001
177;2022-07-13 03:00:00+00:00;Métropole du Grand Paris;1.1;64.0;19.80000000000001
178;2022-08-27 00:00:00+00:00;Métropole du Grand Paris;4.0;71.0;18.600000000000023
179;2022-08-29 12:00:00+00:00;Métropole du Grand Paris;4.9;43.0;26.80000000000001
180;2022-09-06 18:00:00+00:00;Métropole du Grand Paris;3.2;51.0;25.600000000000023
181;2022-09-10 21:00:00+00:00;Métropole du Grand Paris;2.1;94.0;15.0
182;2022-07-18 00:00:00+00:00;Métropole du Grand Paris;0.8;42.0;21.5
183;2022-07-20 12:00:00+00:00;Métropole du Grand Paris;4.1;96.0;19.30000000000001
184;2022-07-23 06:00:00+00:00;Métropole du Grand Paris;2.7;87.0;19.400000000000038
185;2022-08-01 18:00:00+00:00;Métropole du Grand Paris;2.7;43.0;27.30000000000001
186;2022-08-02 06:00:00+00:00;Métropole du Grand Paris;2.2;67.0;20.5
187;2022-08-02 15:00:00+00:00;Métropole du Grand Paris;2.3;33.0;31.100000000000023
188;2022-08-03 09:00:00+00:00;Métropole du Grand Paris;1.5;44.0;29.700000000000045
189;2022-08-04 09:00:00+00:00;Métropole du Grand Paris;3.1;75.0;22.100000000000023
190;2022-08-06 06:00:00+00:00;Métropole du Grand Paris;5.1;61.0;14.600000000000025
191;2022-08-06 09:00:00+00:00;Métropole du Grand Paris;7.7;39.0;19.900000000000038
192;2022-08-06 12:00:00+00:00;Métropole du Grand Paris;5.6;29.0;23.30000000000001
193;2022-08-10 15:00:00+00:00;Métropole du Grand Paris;6.2;24.0;32.30000000000001
194;2022-08-11 18:00:00+00:00;Métropole du Grand Paris;6.1;25.0;30.600000000000023
195;2022-08-12 21:00:00+00:00;Métropole du Grand Paris;1.7;37.0;24.0
196;2022-08-13 18:00:00+00:00;Métropole du Grand Paris;3.4;21.0;30.600000000000023
197;2022-08-15 18:00:00+00:00;Métropole du Grand Paris;4.9;54.0;24.700000000000045
198;2022-08-17 09:00:00+00:00;Métropole du Grand Paris;1.6;93.0;18.700000000000045
199;2022-08-19 09:00:00+00:00;Métropole du Grand Paris;3.3;80.0;19.700000000000045
200;2022-08-20 21:00:00+00:00;Métropole du Grand Paris;1.8;62.0;18.400000000000038
201;2022-08-21 03:00:00+00:00;Métropole du Grand Paris;0.9;92.0;13.5
202;2022-10-13 06:00:00+00:00;Métropole du Grand Paris;2.8;88.0;12.5
203;2022-10-14 03:00:00+00:00;Métropole du Grand Paris;2.0;100.0;14.600000000000025
204;2022-10-18 21:00:00+00:00;Métropole du Grand Paris;2.8;97.0;15.800000000000011
205;2022-10-24 15:00:00+00:00;Métropole du Grand Paris;5.4;75.0;17.400000000000034
206;2022-01-02 00:00:00+00:00;Métropole du Grand Paris;3.0;88.0;8.700000000000045
207;2022-01-03 18:00:00+00:00;Métropole du Grand Paris;7.3;95.0;11.800000000000011
