id_pos,id_type_install,type_install,lat,lon,geometry,id_arr
3309,1562,cpt_traffic,48.87790456299725,2.3546407145423838,"LINESTRING (2.3551820318381216 48.877286266477526, 2.354099397246645 48.87852285951698)",18
3310,1563,cpt_traffic,48.87787211164024,2.354550840048373,"LINESTRING (2.3540092281508076 48.878499817714044, 2.3550924519459375 48.87724440556644)",18
3311,1564,cpt_traffic,48.87893088629861,2.353741088819572,"LINESTRING (2.354052387840997 48.87857638599839, 2.3534297897981458 48.87928538659883)",18
3312,1569,cpt_traffic,48.88125530810079,2.351497760213454,"LINESTRING (2.3507888679124447 48.88201821996712, 2.352206652514464 48.88049239623445)",18
3313,1575,cpt_traffic,48.87452515261437,2.3587150851701626,"LINESTRING (2.3591077612352644 48.875197032250576, 2.3583224091050607 48.87385327297816)",18
3314,1580,cpt_traffic,48.88386826332188,2.353317475622505,"LINESTRING (2.3512024089123815 48.883715563662605, 2.355432542332629 48.884020962981154)",18
3315,528,cpt_traffic,48.87041312424259,2.356351334316497,"LINESTRING (2.357098536 48.8717749831, 2.3556041326 48.8690512654)",18
3316,1582,cpt_traffic,48.88426754218919,2.3593612610065846,"LINESTRING (2.359282872085925 48.88426803556645, 2.359439649927244 48.88426704881192)",18
3317,1548,cpt_traffic,48.87484267232968,2.357395979849346,"LINESTRING (2.3573491897552645 48.87482316637046, 2.357442769943428 48.87486217828889)",18
3318,1556,cpt_traffic,48.87435772563353,2.357882589524245,"LINESTRING (2.3583224091050607 48.87385327297816, 2.357442769943428 48.87486217828889)",18
3319,1557,cpt_traffic,48.87427918072647,2.357805230413078,"LINESTRING (2.3573491897552645 48.87482316637046, 2.3582612710708917 48.873735195082475)",18
3320,1560,cpt_traffic,48.876859869089934,2.3555553196448304,"LINESTRING (2.3559286074515398 48.87643347170234, 2.3551820318381216 48.877286266477526)",18
3321,1586,cpt_traffic,48.882081377210255,2.358572034482486,"LINESTRING (2.3581586698299994 48.88130118829605, 2.3589853991349727 48.88286156612447)",18
3322,1587,cpt_traffic,48.880327537778925,2.3576435574860675,"LINESTRING (2.3571284451421355 48.87935388726179, 2.3581586698299994 48.88130118829605)",18
3323,1589,cpt_traffic,48.87873901965472,2.354946629933926,"LINESTRING (2.354099397246645 48.87852285951698, 2.3557938626212076 48.87895517979246)",18
3324,1594,cpt_traffic,48.884231907079474,2.3629543723004867,"LINESTRING (2.361325864899789 48.884255235770645, 2.3645828797011843 48.884208578388304)",18
3325,1601,cpt_traffic,48.88030082727296,2.3515736090587644,"LINESTRING (2.352206652514464 48.88049239623445, 2.3509405656030644 48.88010925831146)",18
3326,1583,cpt_traffic,48.88426114229128,2.3603827574135163,"LINESTRING (2.359439649927244 48.88426704881192, 2.361325864899789 48.884255235770645)",18
3327,1590,cpt_traffic,48.87866879884646,2.356776237241113,"LINESTRING (2.3564549151694782 48.87804982432312, 2.357097559312748 48.879287773369796)",18
3328,1592,cpt_traffic,48.87817346939873,2.352823442599992,"LINESTRING (2.351637657049177 48.87784712108343, 2.3540092281508076 48.878499817714044)",18
3329,549,cpt_traffic,48.86919171758974,2.35493620893834,"LINESTRING (2.3556041326 48.8690512654, 2.3542682852 48.8693321698)",18
3330,548,cpt_traffic,48.86890127748247,2.3565693685712663,"LINESTRING (2.3575346045 48.8687512896, 2.3556041326 48.8690512654)",18
3331,1322,cpt_traffic,48.87060009123744,2.370505559434909,"LINESTRING (2.3700352056 48.8712422542, 2.3709759132 48.8699579283)",18
3332,1322,cpt_traffic,48.87060009123745,2.3705055594349096,"LINESTRING (2.370035205632027 48.871242254154474, 2.3709759132377917 48.86995792832043)",18
3333,1323,cpt_traffic,48.8706386064484,2.370630612536072,"LINESTRING (2.371108664022625 48.86999562467581, 2.3701525610495184 48.87128158822102)",18
3334,4899,cpt_traffic,48.87993886757668,2.359529322336548,"LINESTRING (2.3570975593 48.8792877734, 2.3619610854 48.8805899618)",18
3335,549,cpt_traffic,48.86919171758974,2.35493620893834,"LINESTRING (2.35560413264727 48.86905126537483, 2.3542682852294092 48.869332169804665)",18
3336,551,cpt_traffic,48.86990107632394,2.351712797557099,"LINESTRING (2.3525336640415926 48.86971525335706, 2.350891931072607 48.87008689929084)",18
3337,6557,cpt_traffic,48.87619566750749,2.3561564676091447,"LINESTRING (2.3563843277667496 48.87595786331263, 2.3559286074515398 48.87643347170234)",18
3338,548,cpt_traffic,48.86890127748247,2.3565693685712663,"LINESTRING (2.3575346044952625 48.86875128959011, 2.35560413264727 48.86905126537483)",18
3339,550,cpt_traffic,48.86952371158086,2.353400974635501,"LINESTRING (2.3542682852294092 48.869332169804665, 2.3525336640415926 48.86971525335706)",18
3340,808,cpt_traffic,48.87023875764263,2.3502210302373925,"LINESTRING (2.3508919311 48.8700868993, 2.3495501294 48.870390616)",18
3341,1555,cpt_traffic,48.870921854942935,2.3607311188130344,"LINESTRING (2.3603675327668485 48.87134115439429, 2.36109470485922 48.87050255549159)",18
3342,1565,cpt_traffic,48.87890108915876,2.353646557901764,"LINESTRING (2.35332664239876 48.8792543780681, 2.3539664734047667 48.87854780024942)",18
3343,1566,cpt_traffic,48.87990972957066,2.3528815037372075,"LINESTRING (2.3534297897981458 48.87928538659883, 2.352333217676269 48.880534072542495)",18
3344,4906,cpt_traffic,48.88216905920346,2.368117098614606,"LINESTRING (2.367208016570971 48.88193854763557, 2.3690261806582407 48.88239957077136)",18
3345,1559,cpt_traffic,48.87537423005541,2.356812804307933,"LINESTRING (2.356276418860601 48.87592529374033, 2.3573491897552645 48.87482316637046)",18
3346,6559,cpt_traffic,48.87879714717661,2.354929820741633,"LINESTRING (2.355807253642269 48.879017908354825, 2.354052387840997 48.87857638599839)",18
3347,1588,cpt_traffic,48.87912147658114,2.3564457109669776,"LINESTRING (2.3557938626212076 48.87895517979246, 2.357097559312748 48.879287773369796)",18
3348,6558,cpt_traffic,48.87918589780832,2.356467849392202,"LINESTRING (2.3571284451421355 48.87935388726179, 2.355807253642269 48.879017908354825)",18
3349,1548,cpt_traffic,48.87484267232968,2.3573959798493456,"LINESTRING (2.3573491898 48.8748231664, 2.3574427699 48.8748621783)",18
3350,1555,cpt_traffic,48.87253817473838,2.359314401918869,"LINESTRING (2.3582612711 48.8737351951, 2.3603675328 48.8713411544)",18
3351,1572,cpt_traffic,48.882829253457686,2.350263606527279,"LINESTRING (2.3509229136 48.8820583644, 2.3496042994 48.8836001425)",18
3352,1582,cpt_traffic,48.88426754218919,2.3593612610065846,"LINESTRING (2.3592828721 48.8842680356, 2.3594396499 48.8842670488)",18
3353,6742,cpt_traffic,48.86813792202528,2.3613701975442125,"LINESTRING (2.3622324626953515 48.867986649052156, 2.3605079323930735 48.86828919499841)",18
3354,4908,cpt_traffic,48.88229135514408,2.3681342071627967,"LINESTRING (2.3689968770810856 48.88251883817301, 2.3672715372445077 48.88206387211516)",18
3355,100003097-101003097,cpt_velo,48.87773,2.3506,POINT (2.3506 48.87773),18
