id_date,mois,jour_semaine
2022-08-14,Aout,Dimanche
2022-08-15,Aout,Lundi
2022-08-16,Aout,Mardi
2022-08-17,Aout,Mercredi
2022-08-18,Aout,Jeudi
2022-08-19,Aout,Vendredi
2022-08-20,Aout,Samedi
2022-08-21,Aout,Dimanche
2022-08-22,Aout,Lundi
2022-08-23,Aout,Mardi
2022-08-24,Aout,Mercredi
2022-08-25,Aout,Jeudi
2022-08-26,Aout,Vendredi
2022-08-27,Aout,Samedi
2022-08-28,Aout,Dimanche
2022-08-29,Aout,Lundi
2022-08-30,Aout,Mardi
2022-08-31,Aout,Mercredi
2022-09-01,Septembre,Jeudi
2022-09-02,Septembre,Vendredi
2022-09-03,Septembre,Samedi
2022-09-04,Septembre,Dimanche
2022-09-05,Septembre,Lundi
2022-09-06,Septembre,Mardi
2022-09-07,Septembre,Mercredi
2022-09-08,Septembre,Jeudi
2022-09-09,Septembre,Vendredi
2022-09-10,Septembre,Samedi
2022-09-11,Septembre,Dimanche
2022-09-12,Septembre,Lundi
2022-09-13,Septembre,Mardi
2022-09-14,Septembre,Mercredi
2022-09-15,Septembre,Jeudi
2022-09-16,Septembre,Vendredi
2022-09-17,Septembre,Samedi
2022-09-18,Septembre,Dimanche
2022-09-19,Septembre,Lundi
2022-09-20,Septembre,Mardi
2022-09-21,Septembre,Mercredi
2022-09-22,Septembre,Jeudi
2022-09-23,Septembre,Vendredi
2022-09-24,Septembre,Samedi
2022-09-25,Septembre,Dimanche
2022-09-26,Septembre,Lundi
2022-09-27,Septembre,Mardi
2022-09-28,Septembre,Mercredi
2022-09-29,Septembre,Jeudi
2022-09-30,Septembre,Vendredi
2022-10-01,Octobre,Samedi
2022-10-02,Octobre,Dimanche
2022-10-03,Octobre,Lundi
2022-10-04,Octobre,Mardi
2022-10-05,Octobre,Mercredi
2022-10-06,Octobre,Jeudi
2022-10-07,Octobre,Vendredi
2022-10-08,Octobre,Samedi
2022-10-09,Octobre,Dimanche
2022-10-10,Octobre,Lundi
2022-10-11,Octobre,Mardi
2022-10-12,Octobre,Mercredi
2022-10-13,Octobre,Jeudi
2022-10-14,Octobre,Vendredi
2022-10-15,Octobre,Samedi
2022-10-16,Octobre,Dimanche
2022-10-17,Octobre,Lundi
2022-10-18,Octobre,Mardi
2022-10-19,Octobre,Mercredi
2022-10-20,Octobre,Jeudi
2022-10-21,Octobre,Vendredi
2022-10-22,Octobre,Samedi
2022-10-23,Octobre,Dimanche
2022-10-24,Octobre,Lundi
2022-10-25,Octobre,Mardi
2022-10-26,Octobre,Mercredi
