id_meteo,Vitesse_vent_moyen,Humidité,Température,id_date,id_heure
172,2.8,39.0,23.600000000000023,2022-07-04,2:00
173,2.2,80.0,16.0,2022-07-07,3:00
174,4.1,39.0,23.700000000000045,2022-07-08,2:00
175,2.2,66.0,18.600000000000023,2022-07-09,0:00
176,5.1,37.0,26.80000000000001,2022-07-10,5:00
177,1.1,64.0,19.80000000000001,2022-07-13,3:00
178,4.0,71.0,18.600000000000023,2022-08-27,0:00
179,4.9,43.0,26.80000000000001,2022-08-29,2:00
180,3.2,51.0,25.600000000000023,2022-09-06,8:00
181,2.1,94.0,15.0,2022-09-10,1:00
182,0.8,42.0,21.5,2022-07-18,0:00
183,4.1,96.0,19.30000000000001,2022-07-20,2:00
184,2.7,87.0,19.40000000000004,2022-07-23,6:00
185,2.7,43.0,27.30000000000001,2022-08-01,8:00
186,2.2,67.0,20.5,2022-08-02,6:00
187,2.3,33.0,31.100000000000023,2022-08-02,5:00
188,1.5,44.0,29.700000000000045,2022-08-03,9:00
189,3.1,75.0,22.100000000000023,2022-08-04,9:00
190,5.1,61.0,14.600000000000025,2022-08-06,6:00
191,7.7,39.0,19.90000000000004,2022-08-06,9:00
192,5.6,29.0,23.30000000000001,2022-08-06,2:00
193,6.2,24.0,32.30000000000001,2022-08-10,5:00
194,6.1,25.0,30.600000000000023,2022-08-11,8:00
195,1.7,37.0,24.0,2022-08-12,1:00
196,3.4,21.0,30.600000000000023,2022-08-13,8:00
197,4.9,54.0,24.700000000000045,2022-08-15,8:00
198,1.6,93.0,18.700000000000045,2022-08-17,9:00
199,3.3,80.0,19.700000000000045,2022-08-19,9:00
200,1.8,62.0,18.40000000000004,2022-08-20,1:00
201,0.9,92.0,13.5,2022-08-21,3:00
202,2.8,88.0,12.5,2022-10-13,6:00
203,2.0,100.0,14.600000000000025,2022-10-14,3:00
204,2.8,97.0,15.800000000000011,2022-10-18,1:00
205,5.4,75.0,17.400000000000034,2022-10-24,5:00
206,3.0,88.0,8.700000000000045,2022-01-02,0:00
207,7.3,95.0,11.800000000000011,2022-01-03,8:00
208,3.3,92.0,5.800000000000011,2022-01-29,0:00
209,6.5,80.0,6.7000000000000455,2022-02-06,0:00
210,8.4,82.0,6.100000000000023,2022-01-09,0:00
211,2.2,100.0,3.400000000000034,2022-01-10,2:00
212,3.2,100.0,1.8000000000000114,2022-01-13,2:00
213,2.0,90.0,6.600000000000023,2022-01-17,2:00
214,4.1,97.0,5.600000000000023,2022-01-19,1:00
215,2.4,83.0,3.900000000000034,2022-01-22,3:00
216,2.0,75.0,5.900000000000034,2022-01-22,5:00
217,2.9,44.0,26.700000000000045,2022-08-28,5:00
218,1.5,80.0,18.90000000000004,2022-09-05,6:00
219,2.7,71.0,20.200000000000045,2022-09-06,1:00
220,1.0,100.0,14.600000000000025,2022-09-11,9:00
221,3.6,83.0,18.700000000000045,2022-06-23,6:00
222,4.8,69.0,18.40000000000004,2022-06-25,0:00
223,4.4,48.0,18.40000000000004,2022-06-27,1:00
224,1.5,96.0,13.900000000000034,2022-06-30,2:00
225,5.8,63.0,19.100000000000023,2022-07-04,1:00
226,3.5,39.0,24.5,2022-07-06,2:00
227,4.5,69.0,15.5,2022-07-08,0:00
228,2.0,68.0,19.600000000000023,2022-07-09,6:00
229,5.7,62.0,17.5,2022-07-10,0:00
230,1.2,35.0,25.100000000000023,2022-07-12,1:00
231,3.7,73.0,24.40000000000004,2022-08-04,8:00
232,6.4,26.0,28.5,2022-08-08,5:00
233,6.2,25.0,32.0,2022-08-10,2:00
234,6.2,27.0,30.600000000000023,2022-08-10,8:00
235,5.9,46.0,27.100000000000023,2022-08-18,5:00
236,5.4,50.0,22.30000000000001,2022-09-15,5:00
237,1.1,47.0,16.80000000000001,2022-09-22,8:00
